Год,Категория,Показатель,Значение,Ед. изм.
2025,Рынок: Объем,Объем рынка (выручка),316500000000.00,руб.
2025,Рынок: Динамика,Темп прироста к 2024,20.00,%
2026,Рынок: Динамика, Темп прироста в 2026,15.00,%
2026,Рынок: Прогноз,Прогноз (базовый),355000000000.00,руб.
2025,Инфраструктура,Количество объектов,14600.00,шт.
2025,Инфраструктура,Общая площадь,6700000.00,кв.м.
2025,Инфраструктура,Чистый прирост объектов (всего),480.00,шт.
2025,Инфраструктура,Чистый прирост (Клубы >500 кв.м),155.00,шт.
2025,Клиенты,Количество клиентов,7450000.00,чел.
2025,Клиенты,Проникновение услуг,5.00,%
2025,Клиенты,Проникновение услуг,17.00,%
2025,Инвестиции,Общий объем инвестиций,36400000000.00,руб.
2025,Инвестиции,Доля DDX Fitness в инвестициях,53.00,%
2025,Импорт,Импорт оборудования,165000000.00,$
2025,Импорт,Рост импорта (год к году),38.00,%
2025,Регионы,Объем рынка,137200000000.00,руб.
2025,Регионы,Прирост рынка,30.00,%
2025,Регионы,Доля на рынке РФ,44.00,%
2025,Регионы,Объем рынка,26800000000.00,руб.
2025,Регионы,Прирост рынка,15.00,%
2025,Регионы,Объем рынка,9200000000.00,руб.
2025,Сегменты,Прирост выручки,75.00,%
2025,Сегменты,Прирост выручки,27.00,%
2025,Сегменты,Объем рынка студий,46300000000.00,руб.
2025,Проблемы,Дефицит кадров,52.00,% опрошенных
2025,Проблемы,Рост стоимости привлечения,40.00,% опрошенных
