Год,Месяц,Объем рынка,Прирост за год
2024,Январь,21200000000,0.25
2024,Февраль,20700000000,0.23
2024,Март,21600000000,0.19
2024,Апрель,21200000000,0.27
2024,Май,18000000000,0.26
2024,Июнь,18800000000,0.26
2024,Июль,19800000000,0.25
2024,Август,19900000000,0.17
2024,Сентябрь,21900000000,0.19
2024,Октябрь,24400000000,0.2
2024,Ноябрь,27800000000,0.23
2024,Декабрь,27400000000,0.27
2025,Январь,27100000000,0.28
2025,Февраль,26000000000,0.25
2025,Март,26600000000,0.23
2025,Апрель,25900000000,0.2
2025,Май,21900000000,0.22
2025,Июнь,22800000000,0.21
2025,Июль,25500000000,0.29
2025,Август,24800000000,0.25
2025,Сентябрь,25500000000,0.21
2025,Октябрь,28200000000,0.16
2025,Ноябрь,31700000000,0.14
2025,Декабрь,29600000000,0.08
2026,Январь,28500000000,0.05
